cancion,artista,album,popularidad,fecha_extraccion,fuente
Ya Borracho,Herencia De Grandes,Noches Sin Fin,0,2026-03-09,short_term
Es Nuestro Dios (feat. Hillsong UNITED),Hillsong en Español,Con Todo (feat. Hillsong UNITED),0,2026-03-09,short_term
En el Trono Está,Christine D'Clario,Eterno (Live),0,2026-03-09,short_term
Quien Dices Que Soy,Hillsong en Español,Quien Dices Que Soy,0,2026-03-09,short_term
Jet Planes,HIGHST,Jet Planes,0,2026-03-09,short_term
Digno,Marco Barrientos,Amanece (Deluxe Edition),0,2026-03-09,short_term
Ya Borracho (Official video),Herencia De Grandes,Ya Borracho (Official Video),0,2026-03-09,short_term
Seguirte,Christine D'Clario,Más Profundo,0,2026-03-09,short_term
Ojos Marrones - Con Sebastián Yatra,Lasso,Eva,0,2026-03-09,short_term
Closer,The Chainsmokers,Closer,0,2026-03-09,short_term
Amapolas,Leo Rizzi,Amapolas,0,2026-03-09,short_term
De Música Ligera,Soda Stereo,Originales - 20 Exitos,0,2026-03-09,short_term
Mónaco,LAGOS,Clásicos,0,2026-03-09,short_term
Amapolas - Remix,Leo Rizzi,Amapolas (Remix),0,2026-03-09,short_term
Tu Amor Es Real,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,short_term
La Imagen De Dios,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,short_term
Con El Cielo,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,short_term
De Gracia En Gracia,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,short_term
Tan Real,Eclipse Rock,La Fuerza del Espiritu,0,2026-03-09,short_term
Fuego,Aviva Fest Band,Fuego,0,2026-03-09,short_term
Pablo & Silas,Oasis Ministry,Pablo & Silas,0,2026-03-09,short_term
Generación Que Danza,En Espíritu Y En Verdad,Glorioso Rey,0,2026-03-09,short_term
Océanos (Donde Mis Pies Pueden Fallar),Hillsong en Español,Océanos,0,2026-03-09,short_term
Mi Esperanza Está en Jesús (En Vivo),Bethel Music,Bethel Music en Español (Live),0,2026-03-09,short_term
Gracia Sublime Es,En Espíritu Y En Verdad,Piedras Vivas,0,2026-03-09,short_term
Tacones Rojos,Sebastian Yatra,Dharma,0,2026-03-09,short_term
Por Ti,Aviva Fest Band,A Ti Me Aferro,0,2026-03-09,short_term
Muévete,Aviva Fest Band,Muévete,0,2026-03-09,short_term
Es El Espíritu De Dios,Aviva Fest Band,Admirable Dios,0,2026-03-09,short_term
K.O,Aviva Fest Band,A Ti Me Aferro,0,2026-03-09,short_term
Deja que te toque,Rescate,Una Raza Contra El Viento,0,2026-03-09,short_term
Tras De Ti Voy,Aviva Fest Band,Admirable Dios,0,2026-03-09,short_term
Loco,Aviva Fest Band,A Ti Me Aferro,0,2026-03-09,short_term
Uoyoyoyoy,Aviva Fest Band,Uoyoyoyoy,0,2026-03-09,short_term
¡Que Llueva! (En Vivo),Aviva Fest Band,¡Que Llueva! (En Vivo),0,2026-03-09,short_term
Ya Desperté,Aviva Fest Band,Muévete,0,2026-03-09,short_term
Amo a Cristo,Aviva Fest Band,Admirable Dios,0,2026-03-09,short_term
A Una Voz,Aviva Fest Band,Admirable Dios,0,2026-03-09,short_term
Camino al Cielo,Puerto Seguro,Mas de Cerca,0,2026-03-09,short_term
Quitamancha,Rescate,Una Raza Contra El Viento,0,2026-03-09,short_term
Me Entrego Por Completo,Aviva Fest Band,Me Entrego Por Completo,0,2026-03-09,short_term
Transparente Corazon,Eclipse Rock,La Fuerza del Espiritu,0,2026-03-09,short_term
A Ti Me Aferro,Aviva Fest Band,A Ti Me Aferro,0,2026-03-09,short_term
Haz Llover,En Espíritu Y En Verdad,"Ha Vencido, Ha Triunfado",0,2026-03-09,short_term
Se busca,Jahazielband,Brutalmente evangélico,0,2026-03-09,short_term
Ya Borracho,Herencia De Grandes,Noches Sin Fin,0,2026-03-09,medium_term
Padre Nuestro (En Vivo),Bethel Music,Bethel Music en Español (Live),0,2026-03-09,medium_term
Payphone,Maroon 5,Overexposed Track By Track,0,2026-03-09,medium_term
Que Sea La Luz,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,medium_term
Cerca De Ti,Aviva Fest Band,Cerca De Ti,0,2026-03-09,medium_term
Rebelde,RBD,Rebelde,0,2026-03-09,medium_term
Ojos Marrones,Lasso,Eva,0,2026-03-09,medium_term
Amapolas,Leo Rizzi,Amapolas,0,2026-03-09,medium_term
Mónaco,LAGOS,Clásicos,0,2026-03-09,medium_term
En el Trono Está,Christine D'Clario,Eterno (Live),0,2026-03-09,medium_term
El Eco De Su Voz,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,medium_term
Amapolas - Remix,Leo Rizzi,Amapolas (Remix),0,2026-03-09,medium_term
Es Nuestro Dios (feat. Hillsong UNITED),Hillsong en Español,Con Todo (feat. Hillsong UNITED),0,2026-03-09,medium_term
Oceans (Where Feet May Fail),Hillsong UNITED,Zion (Deluxe Edition),0,2026-03-09,medium_term
Este Corazón,RBD,Nuestro Amor,0,2026-03-09,medium_term
Saturno,Pablo Alborán,Prometo,0,2026-03-09,medium_term
Fiesta En El Desierto - Live,Montesanto,Bautizados En Fuego (LIVE),0,2026-03-09,medium_term
Quien Dices Que Soy,Hillsong en Español,Quien Dices Que Soy,0,2026-03-09,medium_term
Lo Harás Otra Vez (Do It Again),Elevation Worship,Lo Harás Otra Vez,0,2026-03-09,medium_term
Pareja Del Año,Sebastian Yatra,Dharma,0,2026-03-09,medium_term
death bed (coffee for your head),Powfu,death bed (coffee for your head),0,2026-03-09,medium_term
Gracia Sublime Es,En Espíritu Y En Verdad,Piedras Vivas,0,2026-03-09,medium_term
Aún Hay Algo,RBD,Nuestro Amor,0,2026-03-09,medium_term
Aqui Estoy Yo,Luis Fonsi,Palabras Del Silencio (Edición Aniversario - Un Año Despues),0,2026-03-09,medium_term
Me Rehúso,Danny Ocean,54+1,0,2026-03-09,medium_term
Worthy,Elevation Worship,Hallelujah Here Below,0,2026-03-09,medium_term
Alabaré Al Señor (Anástasis),Hillsong en Español,El Eco De Su Voz,0,2026-03-09,medium_term
Dios imparable,Marcos Witt,Jesús Salva,0,2026-03-09,medium_term
Gloria Shekhiná,Conquistando Fronteras,Gozo,0,2026-03-09,medium_term
Holy Forever,Bethel Music,Come Up Here,0,2026-03-09,medium_term
Ten Fe Corazon,Mundo de Alabanzas,Cantemos al Padre,0,2026-03-09,medium_term
Amor Sin Comparación,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,medium_term
Hermoso Nombre,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,medium_term
Una y Otra Vez,Manuel Medrano,Manuel Medrano,0,2026-03-09,medium_term
Rat Dance Cumbia,Bukano,Rat Dance Cumbia,0,2026-03-09,medium_term
Revelacion - En Vivo,Danilo Montero,Devoción (En Vivo),0,2026-03-09,medium_term
Con El Cielo,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,medium_term
Te Esperé,Jesse & Joy,Aire (Versión Día),0,2026-03-09,medium_term
Él Nos Ama,Christine D'Clario,De Vuelta al Jardin,0,2026-03-09,medium_term
Ya No Soy Esclavo,Christine D'Clario,Emanuel,0,2026-03-09,medium_term
Cielo Abierto (Agua Viva),Hillsong en Español,El Eco De Su Voz,0,2026-03-09,medium_term
Ojos Marrones - Con Sebastián Yatra,Lasso,Eva,0,2026-03-09,medium_term
No Me Compares,Alejandro Sanz,La Música No Se Toca (Deluxe),0,2026-03-09,medium_term
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship,CAN YOU IMAGINE?,0,2026-03-09,medium_term
Pródigo,Un Corazón,"Hola, Futuro.",0,2026-03-09,medium_term
Ten Fe Corazón (En Vivo),Bethel Music,Bethel Music en Español (Live),0,2026-03-09,medium_term
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),0,2026-03-09,medium_term
Es El Espíritu De Dios,Aviva Fest Band,Admirable Dios,0,2026-03-09,medium_term
Goodness of God (Live),Bethel Music,Victory (Live),0,2026-03-09,medium_term
Tu Gran Amor,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,medium_term
Ya Borracho,Herencia De Grandes,Noches Sin Fin,0,2026-03-09,long_term
Padre Nuestro (En Vivo),Bethel Music,Bethel Music en Español (Live),0,2026-03-09,long_term
Payphone,Maroon 5,Overexposed,0,2026-03-09,long_term
Que Sea La Luz,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,long_term
Cerca De Ti,Aviva Fest Band,Cerca De Ti,0,2026-03-09,long_term
Rebelde,RBD,Rebelde,0,2026-03-09,long_term
Ojos Marrones - Remix,Lasso,¡Los Niños También Queremos Bailar!,0,2026-03-09,long_term
Amapolas,Leo Rizzi,Amapolas,0,2026-03-09,long_term
Mónaco,LAGOS,Clásicos,0,2026-03-09,long_term
En el Trono Está,Christine D'Clario,Eterno (Live),0,2026-03-09,long_term
El Eco De Su Voz,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,long_term
Amapolas - Remix,Leo Rizzi,Amapolas (Remix),0,2026-03-09,long_term
Es Nuestro Dios (feat. Hillsong UNITED),Hillsong en Español,Con Todo (feat. Hillsong UNITED),0,2026-03-09,long_term
Oceans (Where Feet May Fail),Hillsong UNITED,Zion (Deluxe Edition),0,2026-03-09,long_term
Este Corazón,RBD,Nuestro Amor,0,2026-03-09,long_term
Quien Dices Que Soy,Hillsong en Español,Quien Dices Que Soy,0,2026-03-09,long_term
Lo Harás Otra Vez (Do It Again),Elevation Worship,Lo Harás Otra Vez,0,2026-03-09,long_term
Fiesta en el desierto (la la la),Montesanto,Fiesta en el Desierto (la la la),0,2026-03-09,long_term
Pareja Del Año,Sebastian Yatra,Dharma +,0,2026-03-09,long_term
death bed (coffee for your head),Powfu,death bed (coffee for your head),0,2026-03-09,long_term
Gracia Sublime Es,En Espíritu Y En Verdad,Piedras Vivas,0,2026-03-09,long_term
Aún Hay Algo,RBD,Nuestro Amor,0,2026-03-09,long_term
Aqui Estoy Yo,Luis Fonsi,Palabras Del Silencio (Edición Aniversario - Un Año Despues),0,2026-03-09,long_term
Me Rehúso,Danny Ocean,Me Rehúso,0,2026-03-09,long_term
Worthy,Elevation Worship,Hallelujah Here Below,0,2026-03-09,long_term
Alabaré Al Señor (Anástasis),Hillsong en Español,El Eco De Su Voz,0,2026-03-09,long_term
Dios imparable,Marcos Witt,Jesús Salva,0,2026-03-09,long_term
Gloria Shekhiná,Conquistando Fronteras,Gozo,0,2026-03-09,long_term
Holy Forever,Bethel Music,Come Up Here,0,2026-03-09,long_term
Ten Fe Corazon,Mundo de Alabanzas,Cantemos al Padre,0,2026-03-09,long_term
Amor Sin Comparación,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,long_term
Hermoso Nombre,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,long_term
Una y Otra Vez,Manuel Medrano,Manuel Medrano,0,2026-03-09,long_term
Rat Dance Cumbia,Bukano,Rat Dance Cumbia,0,2026-03-09,long_term
Con El Cielo,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,long_term
Revelación,Danilo Montero,Top 25 Cantos De Alabanza (Edición 2014),0,2026-03-09,long_term
Saturno,Pablo Alborán,Prometo,0,2026-03-09,long_term
Te Esperé,Jesse & Joy,Aire (Versión Día),0,2026-03-09,long_term
Él Nos Ama,Christine D'Clario,De Vuelta al Jardin,0,2026-03-09,long_term
Ya No Soy Esclavo,Christine D'Clario,Emanuel,0,2026-03-09,long_term
Ojos Marrones - Con Sebastián Yatra,Lasso,Ojos Marrones (Con Sebastián Yatra),0,2026-03-09,long_term
Cielo Abierto (Agua Viva),Hillsong en Español,El Eco De Su Voz,0,2026-03-09,long_term
No Me Compares,Alejandro Sanz,La Música No Se Toca (Deluxe),0,2026-03-09,long_term
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship,CAN YOU IMAGINE?,0,2026-03-09,long_term
Pródigo,Un Corazón,"Hola, Futuro.",0,2026-03-09,long_term
Ten Fe Corazón (En Vivo),Bethel Music,Bethel Music en Español (Live),0,2026-03-09,long_term
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),0,2026-03-09,long_term
Es El Espíritu De Dios,Aviva Fest Band,Admirable Dios,0,2026-03-09,long_term
Goodness of God (Live),Bethel Music,Victory (Live),0,2026-03-09,long_term
Tu Gran Amor,Hillsong en Español,El Eco De Su Voz,0,2026-03-09,long_term
